"","LAD19CD","year","LAD19NM","over","lead","safe","exper","IMD.2019...Extent","under18","region_name","for_profit_percent","third_sector_percent","Cic_n_march","CLA_female_percent","CLA_white_percent","imd","region","profit","white","female","n","third"
"351","E06000032","2020","Luton","Inadequate","Requires improvement to be good","Inadequate","Requires improvement to be good",0.271,27.1973698999663,"East of England",55.5844155844156,5.97402597402597,385,41.038961038961,49.6103896103896,0.271,"East of England",55.5844155844156,49.6103896103896,41.038961038961,3.85,5.97402597402597
"361","E06000033","2019","Southend on Sea","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2216,21.6999317406143,"East of England",27.1241830065359,NA,306,43.4640522875817,79.4117647058823,0.2216,"East of England",27.1241830065359,79.4117647058823,43.4640522875817,3.06,NA
"372","E06000034","2019","Thurrock","Good","Good","Good","Good",0.1214,25.6107284000895,"East of England",45.5172413793103,6.55172413793103,290,40.3448275862069,67.9310344827586,0.1214,"East of England",45.5172413793103,67.9310344827586,40.3448275862069,2.9,6.55172413793103
"383","E06000035","2019","Medway","Inadequate","Inadequate","Inadequate","Requires improvement to be good",0.2389,23.3270868335272,"South East",32.7830188679245,5.89622641509434,424,43.8679245283019,87.7358490566038,0.2389,"South East",32.7830188679245,87.7358490566038,43.8679245283019,4.24,5.89622641509434
"392","E06000036","2017","Bracknell Forest","Good","Good","Good","Outstanding",0.0025,23.3192387250056,"South East",34.4827586206897,NA,116,39.6551724137931,81.0344827586207,0.0025,"South East",34.4827586206897,81.0344827586207,39.6551724137931,1.16,NA
"403","E06000037","2017","West Berkshire","Good","Good","Requires improvement to be good","Good",0.0077,22.5842888062951,"South East",22.9813664596273,3.72670807453416,161,43.4782608695652,83.8509316770186,0.0077,"South East",22.9813664596273,83.8509316770186,43.4782608695652,1.61,3.72670807453416
"416","E06000038","2019","Reading","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.1243,22.8761280751638,"South East",56.0885608856088,4.4280442804428,271,43.9114391143911,60.5166051660517,0.1243,"South East",56.0885608856088,60.5166051660517,43.9114391143911,2.71,4.4280442804428
"427","E06000039","2019","Slough","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.1122,28.8299373407606,"South East",48.8262910798122,40.3755868544601,213,51.6431924882629,48.3568075117371,0.1122,"South East",48.8262910798122,48.3568075117371,51.6431924882629,2.13,40.3755868544601
"439","E06000040","2020","Windsor and Maidenhead","Good","Good","Good","Requires improvement to be good",0.0005,22.9234562678072,"South East",35.3448275862069,NA,116,47.4137931034483,66.3793103448276,0.0005,"South East",35.3448275862069,66.3793103448276,47.4137931034483,1.16,NA
"449","E06000041","2019","Wokingham","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0,23.6192357365342,"South East",22.7272727272727,5.45454545454545,110,43.6363636363636,64.5454545454545,0,"South East",22.7272727272727,64.5454545454545,43.6363636363636,1.1,5.45454545454545
"457","E06000042","2016","Milton Keynes","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.1183,25.2948467548077,"South East",37.1345029239766,1.75438596491228,342,40.3508771929825,69.2982456140351,0.1183,"South East",37.1345029239766,69.2982456140351,40.3508771929825,3.42,1.75438596491228
"470","E06000043","2018","Brighton and Hove","Good","Good","Requires improvement to be good","Good",0.1682,17.5640076447597,"South East",41.7661097852029,3.10262529832936,419,47.255369928401,75.1789976133652,0.1682,"South East",41.7661097852029,75.1789976133652,47.255369928401,4.19,3.10262529832936
"481","E06000044","2018","Portsmouth","Good","Good","Good","Good",0.2473,20.4738464112898,"South East",21.9277108433735,3.85542168674699,415,34.2168674698795,77.8313253012048,0.2473,"South East",21.9277108433735,77.8313253012048,34.2168674698795,4.15,3.85542168674699
"493","E06000045","2019","Southampton","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2836,20.3053223507049,"South East",36.5904365904366,2.91060291060291,481,41.7879417879418,80.8731808731809,0.2836,"South East",36.5904365904366,80.8731808731809,41.7879417879418,4.81,2.91060291060291
"503","E06000046","2018","Isle of Wight","Good","Good","Good","Good",0.1654,17.5705464256949,"South East",31.5555555555556,NA,225,45.3333333333333,91.5555555555556,0.1654,"South East",31.5555555555556,91.5555555555556,45.3333333333333,2.25,NA
"515","E06000047","2019","Durham","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Good",0.3043,19.1415107509234,"North East",12.4260355029586,7.10059171597633,845,43.7869822485207,97.1597633136095,0.3043,"North East",12.4260355029586,97.1597633136095,43.7869822485207,8.45,7.10059171597633
"533","E06000049","2019","Cheshire East","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.0852,20.1196401424436,"North West",40.4123711340206,3.29896907216495,485,47.6288659793814,92.1649484536082,0.0852,"North West",40.4123711340206,92.1649484536082,47.6288659793814,4.85,3.29896907216495
"544","E06000050","2019","Cheshire West and Chester","Good","Good","Good","Good",0.1578,20.012184066855,"North West",29.559748427673,NA,477,44.0251572327044,94.9685534591195,0.1578,"North West",29.559748427673,94.9685534591195,44.0251572327044,4.77,NA
